,0
rank,0.10804343009553657
wins,0.0735371720855781
losses,0.05061609168199209
shutouts,0.03597814135424306
walks,0.03453394144230053
runs_scored,0.034068268183547426
hits,0.03259467015422827
walks_allowed,0.03107625434855182
home_attendance,0.030957429742962297
triples,0.02939228579790889
at_bats,0.029166669236722006
doubles,0.029063281437393406
earned_run_average,0.028050508983719333
hits_allowed,0.026757738050263956
strikeouts_by_pitchers,0.026491141412489393
opponents_runs_scored,0.026423725107550027
errors,0.025272167751634562
strikeouts_by_batters,0.025242885416962763
caught_stealing,0.025037735288338546
complete_games,0.024738523600063275
homeruns,0.023940801120167624
homeruns_allowed,0.023826638921138163
stolen_bases,0.02361110997641383
earned_runs_allowed,0.023418954497722366
double_plays,0.023066858309062913
saves,0.02286289679701953
outs_pitches,0.022644319842383905
year,0.021791986081750106
fielding_percentage,0.020518531473720614
batters_hit_by_pitch,0.01896775659399884
home_games,0.01412309085811273
sacrifice_flies,0.013596505577771254
games_played,0.00886478109737264
league_id,0.006477516619752806
division_id,0.002677740410319365
wild_card_winner,0.002568450651306967
