Feature,Chi2 Score,Mutual Information Score,RFE Ranking,Random Forest Importance
country_txt,1122.4918134046743,0.3196745888791095,1,0.8297455614375612
iyear,23.785088996512663,0.033383435773661985,2,0.17025443856243888
